Stock,Shareholder Name,Category
HDFCBANK,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED ( ...,Promoters
HDFCBANK,Housing Development Finance Corporation Limited,Promoters
HDFCBANK,HDFC INVESTMENTS LIMITED ( indirect foreign holding),Promoters
HDFCBANK,Hdfc Investments Limited,Promoters
HDFCBANK,Hdfc Holdings Limited,Promoters
HDFCBANK,HDFC HOLDINGS LIMITED ( indirect foreign holding),Promoters
HDFCBANK,Government Of Singapore,FIIs
HDFCBANK,Government Pension Fund Global,FIIs
HDFCBANK,Invesco Developing Markets Fund,FIIs
HDFCBANK,Vanguard Total International Stock Index Fund,FIIs
HDFCBANK,Sbi Nifty 50 Etf,DIIs
HDFCBANK,Life Insurance Corporation Of India,DIIs
HDFCBANK,Lici Asm Non Par,DIIs
HDFCBANK,Icici Prudential Large Cap Fund,DIIs
HDFCBANK,Icici Prudential Value Discovery Fund,DIIs
HDFCBANK,Hdfc Trustee Company Limited-Hdfc Flexi Cap Fund,DIIs
HDFCBANK,Icici Prudential Bluechip Fund,DIIs
HDFCBANK,Uti Nifty 50 Etf,DIIs
HDFCBANK,Hdfc Trustee Company Ltd. A/C Hdfc Balanced Advantage Fund,DIIs
HDFCBANK,Uti - Nifty Exchange Traded Fund,DIIs
HDFCBANK,Nippon Life India Trustee Ltd-A/C Nippon India Etf...,DIIs
HDFCBANK,Nps Trust- A/C Hdfc Pension Fund Management Limite...,DIIs
HDFCBANK,Icici Prudential Balanced Advantage Fund,DIIs
HDFCBANK,Kotak Equity Arbitrage Fund,DIIs
INFY,Sudha Gopalakrishnan,Promoters
INFY,Rohan Murty,Promoters
INFY,Nandan M Nilekani,Promoters
INFY,Akshata Murty,Promoters
INFY,Asha Dinesh,Promoters
INFY,Sudha N Murty,Promoters
INFY,Rohini Nilekani,Promoters
INFY,S Gopalakrishnan,Promoters
INFY,Dinesh Krishnaswamy,Promoters
INFY,Shreyas Shibulal,Promoters
INFY,Narayana Murthy,Promoters
INFY,Meghana Gopalakrishnan,Promoters
INFY,Nihar Nilekani,Promoters
INFY,Gaurav Manchanda,Promoters
INFY,Janhavi Nilekani,Promoters
INFY,Deeksha Dinesh,Promoters
INFY,Divya Dinesh,Promoters
INFY,Milan Shibulal Manchanda,Promoters
INFY,Nikita Shibulal Manchanda,Promoters
INFY,Bhairavi Madhusudhan Shibulal,Promoters
INFY,S D Shibulal,Promoters
INFY,Kumari Shibulal,Promoters
INFY,Shruti Shibulal,Promoters
INFY,Tanush Nilekani Chandra,Promoters
INFY,Ekagrah Rohan Murty,Promoters
INFY,Shray Chandra,Promoters
INFY,Government Of Singapore,FIIs
INFY,"Vanguard Emerging Markets Stock Index Fund, A Seri...",FIIs
INFY,Government Pension Fund Global,FIIs
INFY,Vanguard Total International Stock Index Fund,FIIs
INFY,Vanguard Emerging Markets Stock Index Fund,FIIs
INFY,Life Insurance Corporation Of India - Ulif00220091,DIIs
INFY,Life Insurance Corporation of India,DIIs
INFY,Sbi Mutual Fund,DIIs
INFY,Icici Prudential Mutual Fund,DIIs
INFY,National Pension System Trust,DIIs
INFY,Uti Mutual Fund,DIIs
INFY,Hdfc Mutual Fund,DIIs
INFY,Nippon Life India Trustee,DIIs
INFY,Sbi Life Insurance Co. Ltd,DIIs
INFY,Icici Prudential Life Insurance Company Limited,DIIs
INFY,Kotak Equity Arbitrage Fund,DIIs
INFY,Aditya Birla Sun Life Trustee,DIIs
INFY,Aditya Birla Sun Life Mutual Fund,DIIs
INFY,Deutsche Bank Trust Company Americas,Others
RELIANCE,Srichakra Commercials LLP,Promoters
RELIANCE,Devarshi Commercials LLP,Promoters
RELIANCE,Karuna Commercials LLP,Promoters
RELIANCE,Tattvam Enterprises LLP,Promoters
RELIANCE,Reliance Industries Holding Private Ltd,Promoters
